Id,Name,City,Country,Capacity,BuiltDate,LastRenovation,SurfaceType,Address,Latitude,Longitude,HasRoof,ImageUrl,Description,Facilities,Architect,CostMillionsEuros,Nickname
4,Cívitas Metropolitano,Madrid,Spain,70460,2017-01-01,2017-01-01,Natural Grass,"Av. de Luis Aragonés, 4, 28022 Madrid, Spain",40.436111,-3.599444,f,,"Ultra-modern stadium opened in 2017, featuring cutting-edge design and technology. Home to Atlético Madrid with a distinctive red and white exterior matching the club colors.","[""Shopping Center"", ""Museum"", ""VIP Areas"", ""Underground Parking"", ""Hotel""]",Cruz y Ortiz Arquitectos,310,Wanda Metropolitano
12,Coliseum Alfonso Pérez,Getafe,Spain,17393,1998-01-01,2017-01-01,Natural Grass,"Av. Teresa de Calcuta, 2, 28903 Getafe, Madrid, Spain",40.325556,-3.714444,f,,"Modern stadium opened in 1998, home to Getafe CF. Known for its compact design and intense atmosphere, located in the Madrid metropolitan area.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",Lamela Arquitectos,25,Coliseum
18,Estadi Ciutat de València,Valencia,Spain,26354,1969-01-01,2016-01-01,Natural Grass,"C. de San Vicente de Paúl, 44, 46019 Valencia, Spain",39.493889,-0.358611,f,,"Stadium in Valencia dating from 1969, home to Levante UD. Known as 'Ciutat de València' and features traditional Spanish stadium architecture.","[""VIP Areas"", ""Press Center"", ""Training Complex""]",Javier Goerlich,12,Ciutat de València
19,Estadi Mallorca Son Moix,Palma,Spain,23142,1999-01-01,2018-01-01,Natural Grass,"Cam. dels Reis, 8, 07011 Palma, Illes Balears, Spain",39.590556,2.630278,f,,"Modern stadium on the island of Mallorca, opened in 1999. Features contemporary design and excellent facilities, home to RCD Mallorca.","[""VIP Boxes"", ""Press Room"", ""Training Ground"", ""Youth Academy""]",Tomàs Forteza,35,Son Moix
13,Estadi Montilivi,Girona,Spain,14624,1970-01-01,2017-01-01,Natural Grass,"Av. de Montilivi, 141, 17003 Girona, Spain",41.962222,2.829167,f,,"Traditional stadium dating from 1970, recently renovated to meet top-flight standards. Known for its intimate atmosphere and strong Catalan identity.","[""VIP Area"", ""Press Room"", ""Youth Academy""]",Municipal Design,8,Montilivi
6,Estadio Balaídos,Vigo,Spain,29000,1928-01-01,2017-01-01,Natural Grass,"Rúa de Barcelona, s/n, 36207 Vigo, Pontevedra, Spain",42.213056,-8.738889,f,,"Historic stadium in Vigo, home to RC Celta since 1928. Known for its passionate Galician support and intimate atmosphere despite modest capacity.","[""VIP Boxes"", ""Press Room"", ""Training Facilities""]",Manuel del Río,15,Balaídos
24,Estadio Benito Villamarín,Sevilla,Spain,60721,1929-01-01,2020-01-01,Natural Grass,"Av. de Heliópolis, s/n, 41012 Sevilla, Spain",37.356389,-5.981667,f,,"Historic stadium dating from 1929, home to Real Betis. Known as 'Villamarín' and famous for its passionate Sevillian support and recent modernization.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Hotel""]",Aníbal González,80,Villamarín
16,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Spain,32400,2003-01-01,2017-01-01,Natural Grass,"C. Fondos de Segura, s/n, 35019 Las Palmas de Gran Canaria, Spain",28.099167,-15.453889,f,,"Modern stadium on the Canary Islands, opened in 2003. Features excellent facilities and a unique island location, home to UD Las Palmas.","[""VIP Areas"", ""Convention Center"", ""Shopping Area"", ""Museum""]",Alfredo Reiter,110,Gran Canaria
31,Estadio de la Cerámica,Villarreal,Spain,23500,1923-01-01,2017-01-01,Natural Grass,"C. Blasco Ibáñez, 12, 12540 Villarreal, Castellón, Spain",39.944167,-0.103611,f,,"Stadium dating from 1923, known as 'El Madrigal' or 'Estadio de la Cerámica'. Home to Villarreal CF and famous for its 'Yellow Submarine' atmosphere.","[""VIP Areas"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",Various renovations,30,El Madrigal
8,Estadio de Mendizorroza,Vitoria-Gasteiz,Spain,19840,1924-01-01,2016-01-01,Natural Grass,"Av. de Cervantes, 28, 01007 Vitoria-Gasteiz, Álava, Spain",42.840300,-2.688900,f,,"Historic Basque stadium dating back to 1924, recently modernized while maintaining its traditional character. Known for strong local support in the Basque Country.","[""VIP Boxes"", ""Museum"", ""Youth Training Center""]",José María Basterra,12,Mendizorroza
30,Estadio de Mestalla,Valencia,Spain,49430,1923-01-01,2019-01-01,Natural Grass,"Av. de Suècia, s/n, 46010 Valencia, Spain",39.474722,-0.358611,f,,"Legendary stadium dating from 1923, home to Valencia CF. Known as 'Mestalla' and famous for its incredible atmosphere and rich football history.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",Francisco Almenar Quinzá,55,Mestalla
23,Estadio de Vallecas,Madrid,Spain,14708,1976-01-01,2018-01-01,Natural Grass,"C. del Payaso Fofó, s/n, 28018 Madrid, Spain",40.391944,-3.659167,f,,"Traditional working-class stadium in Madrid's Vallecas neighborhood. Known for its passionate, left-wing fanbase and authentic football atmosphere.","[""Basic VIP Area"", ""Press Room"", ""Small Training Area""]",Luis Alemany,6,Campo de Fútbol de Vallecas
15,Estadio El Alcoraz,Huesca,Spain,7638,1972-01-01,2018-01-01,Natural Grass,"Av. del Parque, 1, 22005 Huesca, Spain",42.120833,-0.420556,f,,"Small stadium in the Aragonese city of Huesca, renovated for La Liga promotion. Despite its modest size, it provides an intimate and passionate atmosphere.","[""Basic VIP Area"", ""Press Room"", ""Small Training Area""]",Municipal Design,3,El Alcoraz
29,Estadio El Molinón,Gijón,Spain,30000,1908-01-01,2017-01-01,Natural Grass,"C. Luis Braille, s/n, 33390 Gijón, Asturias, Spain",43.534444,-5.631944,f,,"Historic stadium dating from 1908, one of Spain's oldest. Known as 'El Molinón' and famous for passionate Asturian support and maritime location.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Ground""]",Various (historic),18,El Molinón
21,Estadio El Sadar,Pamplona,Spain,23576,1967-01-01,2019-01-01,Natural Grass,"C. Sadar, s/n, 31006 Pamplona, Navarra, Spain",42.796667,-1.636944,f,,"Historic stadium in Pamplona, home to CA Osasuna since 1967. Known for passionate Navarrese support and traditional Spanish stadium atmosphere.","[""VIP Boxes"", ""Press Room"", ""Training Complex""]",Víctor Eusa,15,El Sadar
27,Estadio José Zorrilla,Valladolid,Spain,26512,1982-01-01,2018-01-01,Natural Grass,"Av. del Mundial 82, s/n, 47014 Valladolid, Spain",41.644167,-4.760556,f,,"Stadium opened in 1982, named after poet José Zorrilla. Features modern facilities and serves as home to Real Valladolid CF.","[""VIP Boxes"", ""Press Room"", ""Training Ground""]",Julio Cano Lasso,20,Zorrilla
20,Estadio La Rosaleda,Málaga,Spain,30044,1941-01-01,2017-01-01,Natural Grass,"Paseo de Martiricos, 28, 29010 Málaga, Spain",36.732500,-4.425556,f,,"Historic stadium dating from 1941, known as 'La Rosaleda'. Features traditional Spanish architecture and has been home to Málaga CF for decades.","[""VIP Areas"", ""Press Center"", ""Museum"", ""Training Facilities""]",Teodoro de Anasagasti,20,La Rosaleda
10,Estadio Martínez Valero,Elche,Spain,33732,1976-01-01,2018-01-01,Natural Grass,"Av. del Estadio, s/n, 03202 Elche, Alicante, Spain",38.262222,-0.682222,f,,"Modern stadium opened in 1976, named after club president Martínez Valero. Features good facilities and has been recently renovated to maintain La Liga standards.","[""VIP Boxes"", ""Press Center"", ""Training Ground""]",Joaquín Ramos Hernández,18,Martínez Valero
17,Estadio Municipal de Butarque,Leganés,Spain,12454,1998-01-01,2016-01-01,Natural Grass,"Av. de la Mancha, s/n, 28911 Leganés, Madrid, Spain",40.340278,-3.766111,f,,"Municipal stadium serving CD Leganés, renovated for their La Liga campaigns. Known for strong community support despite its modest size.","[""VIP Boxes"", ""Press Room"", ""Youth Training""]",Municipal Design,8,Butarque
9,Estadio Municipal de Ipurua,Eibar,Spain,8164,1947-01-01,2014-01-01,Natural Grass,"Untzaga Kalea, 47, 20600 Eibar, Gipuzkoa, Spain",43.203889,-2.472222,f,,"Small but iconic stadium in the Basque town of Eibar. Despite its modest size, it has hosted La Liga matches and is known for its incredible atmosphere.","[""Small VIP Area"", ""Press Room"", ""Basic Facilities""]",Municipal Design,4,Ipurua
14,Estadio Nuevo Los Cármenes,Granada,Spain,19336,1995-01-01,2019-01-01,Natural Grass,"C. Pintor Manuel Maldonado, s/n, 18007 Granada, Spain",37.161389,-3.606944,f,,"Modern stadium opened in 1995, located in the historic city of Granada. Features contemporary facilities with views of the Sierra Nevada mountains.","[""VIP Boxes"", ""Press Center"", ""Training Ground""]",Ayuntamiento de Granada,15,Los Cármenes
7,Estadio Nuevo Mirandilla,Cádiz,Spain,20724,1955-01-01,2019-01-01,Natural Grass,"Av. de Ramón de Carranza, s/n, 11010 Cádiz, Spain",36.504722,-6.270833,f,,"Coastal stadium in the historic city of Cádiz, recently renovated to meet La Liga standards. Known for its unique location near the sea and passionate local support.","[""VIP Areas"", ""Press Room"", ""Youth Academy Facilities""]",Fernando Cavestany,8,Carranza
28,Estadio Ramón Sánchez-Pizjuán,Sevilla,Spain,43883,1958-01-01,2020-01-01,Natural Grass,"Av. Eduardo Dato, s/n, 41005 Sevilla, Spain",37.383889,-5.970278,f,,"Historic stadium dating from 1958, home to Sevilla FC. Known for its passionate atmosphere and recent renovations, one of Spain's most famous stadiums.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Complex""]",Manuel Muñoz Monasterio,45,Sánchez-Pizjuán
22,Estadio Riazor,A Coruña,Spain,32660,1944-01-01,2018-01-01,Natural Grass,"Av. de A Sardiñeira, s/n, 15011 A Coruña, Spain",43.368611,-8.417222,f,,"Historic coastal stadium dating from 1944, overlooking the Atlantic Ocean. Famous for its unique location and passionate Galician support.","[""VIP Areas"", ""Museum"", ""Press Center"", ""Training Ground""]",Alejandro de la Sota,25,Riazor
11,RCDE Stadium,Barcelona,Spain,40500,2009-01-01,2009-01-01,Natural Grass,"Av. del Baix Llobregat, 100, 08940 Cornellà de Llobregat, Barcelona, Spain",41.347778,2.075556,f,,"Modern stadium opened in 2009, replacing the historic Sarrià. Features contemporary design and excellent facilities, located in the Barcelona metropolitan area.","[""VIP Areas"", ""Shopping Center"", ""Restaurant"", ""Museum""]",Estudi PSP Arquitectura,60,Cornellà-El Prat
26,Reale Arena,San Sebastián,Spain,39500,1993-01-01,2019-01-01,Natural Grass,"P.º de Anoeta, 1, 20014 Donostia, Gipuzkoa, Spain",43.301389,-2.035833,f,,"Modern stadium in San Sebastián, opened in 1993. Known as 'Reale Arena' and features contemporary Basque design with excellent facilities.","[""VIP Areas"", ""Press Center"", ""Training Complex"", ""Youth Academy""]",Dolores Alonso,50,Anoeta
3,San Mamés,Bilbao,Spain,53289,2013-01-01,2013-01-01,Natural Grass,"Rafael Moreno Pitxitxi Kalea, 1, 48013 Bilbao, Bizkaia, Spain",43.264167,-2.949167,f,,"Modern stadium known as 'The Cathedral' of Athletic Club, rebuilt in 2013 to replace the historic San Mamés. Features state-of-the-art facilities and maintains the passionate atmosphere of Basque football.","[""Museum"", ""VIP Boxes"", ""Heated Pitch"", ""LED Lighting""]","César Azkarate, Iñaki Aurrekoetxea",211,The Cathedral
5,Spotify Camp Nou,Barcelona,Spain,99354,1957-01-01,2022-01-01,Natural Grass,"C. d'Arístides Maillol, 12, 08028 Barcelona, Spain",41.380833,2.122778,f,,"Iconic stadium and largest in Europe, currently undergoing major renovation. Home to FC Barcelona since 1957, known worldwide as a temple of football with incredible atmosphere.","[""Museum"", ""Megastore"", ""VIP Areas"", ""Press Center"", ""Chapel""]","Francesc Mitjans, Lorenzo García-Barbón",1500,Camp Nou
25,Estadio Santiago Bernabéu,Madrid,Spain,81044,1947-01-01,2023-01-01,Natural Grass,"Av. de Concha Espina, 1, 28036 Madrid, Spain",40.453056,-3.688333,t,,Legendary stadium and home to Real Madrid since 1947. Recently renovated with retractable roof and cutting-edge technology. One of the most famous stadiums in world football.,"[""Museum"", ""VIP Areas"", ""Shopping Center"", ""Restaurant"", ""Hotel"", ""Retractable Roof""]","Manuel Muñoz Monasterio, Luis Alemany",1200,Santiago Bernabéu
